Asset being sold,Asset being purchased,Dollar Value,Account Owner
Cash,GOOG,215,vk49No9e
TWTR,BTC,455,79kRyE6h
Cash,FB,6,vk49No9e
FB,Cash,76452,wPccxlgU
Cash,FB,55,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,16,wPccxlgU
Cash,FB,29,wPccxlgU
GOOG,Cash,278,wPccxlgU
FB,Cash,106,wPccxlgU
FB,Cash,27,wPccxlgU
Cash,FB,21,wPccxlgU
Cash,FB,11,wPccxlgU
FB,Cash,31,wPccxlgU
FB,Cash,32,wPccxlgU
Cash,FB,37,wPccxlgU
Cash,FB,34,wPccxlgU
FB,Cash,35,wPccxlgU
FB,Cash,39,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,31,wPccxlgU
Cash,FB,28,wPccxlgU
Cash,FB,60,wPccxlgU
Cash,GOOG,736,wPccxlgU
Cash,FB,10,wPccxlgU
Cash,FB,25,wPccxlgU
FB,Cash,27,wPccxlgU
FB,Cash,45,wPccxlgU
Cash,FB,35,wPccxlgU
GOOG,Cash,29,wPccxlgU
FB,Cash,64,wPccxlgU
FB,Cash,12,wPccxlgU
FB,Cash,17,wPccxlgU
FB,Cash,27,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,38,wPccxlgU
FB,Cash,17,wPccxlgU
Cash,FB,28,wPccxlgU
FB,Cash,22,wPccxlgU
Cash,FB,409,wPccxlgU
FB,Cash,3,wPccxlgU
FB,Cash,19,vk49No9e
TWTR,BTC,50,wPccxlgU
Cash,GOOG,67,vk49No9e
FB,Cash,61,vk49No9e
FB,Cash,28,wPccxlgU
FB,Cash,23,wPccxlgU
Cash,FB,59,wPccxlgU
Cash,FB,31,vk49No9e
FB,Cash,24,vk49No9e
Cash,FB,17,vk49No9e
FB,Cash,26,vk49No9e
FB,Cash,45,vk49No9e
Cash,FB,42,vk49No9e
Cash,FB,44,vk49No9e
Cash,FB,26,vk49No9e
Cash,FB,20,vk49No9e
FB,Cash,26,vk49No9e
Cash,FB,28,vk49No9e
FB,Cash,16,vk49No9e
FB,Cash,48,vk49No9e
FB,Cash,24,vk49No9e
Cash,FB,47,vk49No9e
Cash,FB,167,vk49No9e
Cash,GOOG,192,vk49No9e
FB,Cash,40,vk49No9e
Cash,FB,258002,vk49No9e
Cash,FB,257864,vk49No9e
TWTR,BTC,70,79kRyE6h
FB,Cash,258006,vk49No9e
FB,Cash,257904,vk49No9e
GOOG,Cash,257979,vk49No9e
GOOG,Cash,257979,vk49No9e
FB,Cash,256634,vk49No9e
TWTR,BTC,422,79kRyE6h
Cash,FB,69,wPccxlgU
Cash,FB,18,wPccxlgU
Cash,FB,27,wPccxlgU
Cash,FB,34,wPccxlgU
Cash,FB,33,wPccxlgU
FB,Cash,43,wPccxlgU
BTC,TWTR,792,79kRyE6h
Cash,FB,37,wPccxlgU
TWTR,BTC,304,79kRyE6h
ZEN,BTC,17458,vk49No9e
Cash,GOOG,1232,wPccxlgU
BTC,ZEN,11772,79kRyE6h
BTC,ZEN,62,wPccxlgU
Cash,FB,6,wPccxlgU
Cash,FB,14751,wPccxlgU
Cash,FB,26,wPccxlgU
FB,Cash,10,wPccxlgU
FB,Cash,45,wPccxlgU
FB,Cash,51,wPccxlgU
Cash,FB,164,wPccxlgU
Cash,FB,18,wPccxlgU
TWTR,BTC,251078,79kRyE6h
Cash,FB,54,vk49No9e
Cash,FB,171,vk49No9e
Cash,FB,27,vk49No9e
Cash,FB,56,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,68,vk49No9e
GOOG,Cash,334,vk49No9e
FB,Cash,36,vk49No9e
FB,Cash,29,vk49No9e
FB,Cash,56,vk49No9e
FB,Cash,28,vk49No9e
FB,Cash,24,vk49No9e
FB,Cash,22,vk49No9e
Cash,FB,22,vk49No9e
FB,Cash,49,vk49No9e
Cash,FB,33,vk49No9e
FB,Cash,21,vk49No9e
Cash,FB,19,vk49No9e
Cash,FB,176,vk49No9e
Cash,FB,493,vk49No9e
Cash,FB,57,vk49No9e
FB,Cash,22,vk49No9e
Cash,FB,62,vk49No9e
Cash,FB,48,vk49No9e
FB,Cash,35,vk49No9e
Cash,GOOG,197,vk49No9e
Cash,FB,88,vk49No9e
Cash,FB,21,vk49No9e
FB,Cash,47,vk49No9e
BTC,TWTR,42,wPccxlgU
FB,Cash,61,vk49No9e
TWTR,BTC,43,wPccxlgU
TWTR,BTC,240443,wPccxlgU
Cash,GOOG,49,vk49No9e
Cash,FB,61,vk49No9e
Cash,FB,93,vk49No9e
Cash,FB,95,vk49No9e
FB,Cash,40,vk49No9e
FB,Cash,34,vk49No9e
Cash,FB,571,vk49No9e
GOOG,Cash,169,vk49No9e
FB,Cash,138,vk49No9e
Cash,FB,33,vk49No9e
FB,Cash,41,vk49No9e
Cash,FB,25,vk49No9e
GOOG,Cash,73,vk49No9e
Cash,GOOG,73,vk49No9e
FB,Cash,50,vk49No9e
Cash,FB,32,vk49No9e
Cash,GOOG,267,vk49No9e
Cash,FB,83,vk49No9e
Cash,FB,35,vk49No9e
Cash,FB,29,vk49No9e
Cash,FB,18,vk49No9e
FB,Cash,20,vk49No9e
FB,Cash,46,vk49No9e
FB,Cash,14,vk49No9e
Cash,FB,43,vk49No9e
Cash,FB,41,vk49No9e
Cash,FB,13,vk49No9e
TWTR,BTC,681,79kRyE6h
FB,Cash,103,vk49No9e
Cash,FB,24,vk49No9e
Cash,FB,19,vk49No9e
BTC,ZEN,6224,79kRyE6h
BTC,TWTR,120,79kRyE6h
TWTR,BTC,2858,79kRyE6h
Cash,FB,261211,wPccxlgU
Cash,GOOG,17,wPccxlgU
GOOG,Cash,10,wPccxlgU
ZEN,BTC,55,vk49No9e
Cash,GOOG,34,wPccxlgU
GOOG,Cash,34,wPccxlgU
GOOG,Cash,12,wPccxlgU
